submitted,keyword,notes
pakala Mapuju,up,"The preposition ""up"" frequently occurs in phrasal verbs. Seek translations of those as a unit."
pakala Mapuju,down,"The preposition ""down"" frequently occurs in phrasal verbs. Seek translations of those as a unit."
ijo vivi,will,"Toki Pona doesn't indicate tense grammatically, and time markings are often left to context. In the bread example above, a listener could observe the speaker either leaving or arriving at the house, and thus infer whether the bread-buying has already happened. When recounting events, the timeframe of the story is also often indicated explicitly with phrases like ""Yesterday"" or ""A long time ago"", a strategy used by other tenseless languages like ASL."
ijo vivi,together,"The word ""together"", when modifying a verb, typically implies multiple subjects performing a task. When this plurality is apparent elsewhere in the sentence, it need not be stated again in Toki Pona."
ijo vivi,store,"Translations with *jo* and *lon* focus on the object simply *being* in a container, as opposed to someone *storing* it there."
"ijo vivi, (via ilo Tani), (via kala Asi), pakala Mapuju",location,"Sentences with the word 'location' can often be reworded using *lon* as a preposition, though there are also situations where *lon* is best used as a noun. More specific words can be used if the type of location is known: like *tomo* for a patient's location within a hospital, or *supa* for a book located on a specific shelf."
lipamanka,piece,"Many people use kipisi to mean ""piece"" (as in ""a part of a whole""), but there exists a vocal and small minority of people who avoid it entirely. kipisi works for all meanings of the ""a part of a whole"" sense of ""piece."" Be aware that kipisi does not work as a translation of any of the other listed senses of ""piece."" 

In addition to the listed subsenses (outer part, inner component, one of many subdivisions of a mass), many pieces of wholes can be described with other words. For example, a circular piece of a car, like a wheel, could be ""sike."" A piece of a computer that circulates air, like a fan, could be ""ilo pi tawa kon."" While kipisi works for all of these, it's also possible to not bring attention to the relationship between the piece and the whole. 

likewise, the fourth sense of piece (a piece in a board game) can also be any other toki pona word, depending on what it is. A token representing a person could be ""jan."" "
jan Saki,electricity,"Electricity comes from many places and is used for many things. It is almost always *wawa*; but if you need to be more precise, describe what makes electricity different from other forms of energy in the situation."
jan Saki,minute,"Units of time within a day generally have no fixed expression; hence why a minute can be *suli*, *lili*, or *insa* depending on the context."
jan Saki,goodbye,"The usual ""mi tawa"" and ""(o) tawa pona"" can be varied. Generally, the person leaving states why they are leaving, and others wish them well in that future activity. For example: ""mi weka, mi o lape."" ""o lape pona!"""
ijo vivi,forget,"The distinction between ""I don't know X"" and ""I forgot X"" is whether the given thing was known previously. In context, this detail may not always be necessary to communicate."
ijo vivi,wife,"Most short translations do not connote the long-time, committed relationship or vow of marriage implied by the word ""wife"". When it's necessary to distinguish from another type of relationship like a girlfriend, these details should be stated explicitly."
ijo vivi,team,*kulupu* is often followed by another word that specifies the type of team.
ijo vivi,spell,"Different descriptions may be used depending on how the magic spell is performed: for example, using *nimi* for spells that are uttered, or *pana* for spells that are cast."
ijo vivi,five,"*luka* is the usual term for 5. Rarely, *tu tu wan* may be used to prevent confusion with the non-numeric senses of *luka*."
ijo vivi,can,"Requests in the form of ""Can you...?"" are sometimes literal questions about permission, availability, etc., and sometimes indirect commands. Consider which category your request falls into when translating."
ijo vivi,education,"Keep in mind that the simple translations offered may not connote learning in a large-scale, often government-backed system, or the privilege gained by participating in such a system."
ijo vivi,get well soon,"In absence of a fixed expression, Toki Pona speakers can express sympathy for a sick person in many unique ways."
jan Saki,flag,"If flagging something involves some kind of visible mark (e.g. a little red flag or star on an email), you can describe the visible mark and use it with ""e""."
jan Saki,better,"Comparisons can be phrased in many ways, including, but not limited to:
- ""(ijo A) la, (ijo B) li pona"" → ""Relative to A, B is good""
- ""(ijo A) li pona tawa (ijo B)"" → ""A is good relative to B""
- ""(ijo A) li pona lili. (ijo A) li pona wawa."" → ""A is a bit good. B is very good.""

See the [sona pona article](https://sona.pona.la/wiki/Comparisons) for more info."
ijo vivi,get,"Toki Pona doesn't have a passive voice, so sentences must be rephrased in active voice before translating. If the original sentence doesn't indicate who is performing the action (the agent), one may either come up a contextually appropriate agent (like *kulupu*, 'the gang'), or insert something generic (like *ijo*, 'someone').

Receiving something may be expressed using *pana* with reverse roles. For example, ""I got a gift from you"" may rather be expressed as *sina pana e ijo tawa mi*, ""you gave a gift to me."""
ijo vivi,dangerous,"When describing something dangerous, it may be most clear to describe the potential harm and/or the situation that enables this harm."
jan Saki,science,"Science is ultimately a kind of *sona*, but it is best to describe what you're studying within the realm of science."
ijo vivi,ash,Descriptions including *seli* imply ash that is still hot.
ijo vivi,gonna,"Toki Pona does not grammatically indicate whether an action happens in the future (grammatical tense). The same information can still be conveyed in several ways:

- A speaker may rely on the listener's prior knowledge about whether the described thing has already happened.
- Because the future is inherently uncertain, preverbs like *ken* or *wile* may show up more often when discussing future plans.
- Sentences may include phrases like ""in three days"" or ""next year"", obviating the need for tense marking.
- When someone is about to begin an action (immediate future), this can be expressed with *kama* preverb."
