times asked,submitted,keyword,pos,enumeration,tok,eng,examples
2,pakala Mapuju,as,,3,sama,"in the manner of, in the way of","mi ken e weka pi jan awen, **sama** wile sina. | I will release the prisoners, **as** you wish."
0,ijo vivi,ash,,,ko (seli),"dust formed when something burns, often white or gray",seli li pini. **ko** taso li awen lon poki. | The fire burned out. Only **ash** remains in the brazier.
12,kala Asi,ask,v,,wile (sona),"to request something, especially information","jan lawa li **wile sona** e ni: jan seme li pilin ike li pali ala? | The manager **asked** who was out sick.
jan pakala li **wile** e telo. | The injured person **asked** for a glass of water."
12,kala Asi,ask,v,,toki e wile,to express a need,sina **toki e wile** la mi pana. | **Ask** and you shall receive.
12,kala Asi,ask,v,,o,a polite command,**o** weka. | I kindly **ask** you to leave.
0,mun Kekan San,ass,n,,monsi,butt,mi tawa anpa li pakala e **monsi** mi! | I fell down and hurt my **ass**!
0,mun Kekan San,ass,n,,soweli,goat,mi pali e ko tan telo **soweli**. | I made cheese from **goat** milk.
6,lipamanka,at,prep,,lon,in or near a place or time,mi **lon** tomo awen pi ilo tawa. | I'm **at** the bus stop.
6,kala Asi,at,prep,,tawa,in the direction of,o pana ala wawa e kiwen **tawa** jan. | Don't throw rocks **at** people.
0,lipamanka,atmosphere,,,kon sewi,the gas above the ground surrounding a planet,**kon sewi** li sama len mute poka. | The **atmosphere** is like many layers of cloth. 
0,ijo vivi,atmosphere,,,pilin,"mood, vibe, energy","mi kama lon kulupu musi, li **pilin** e nasa lon ona, li weka. | I felt a strange **atmosphere** when I arrived at the party, so I decided to skedaddle."
0,pakala Mapuju,attack,,,(kama) utala,to take a violent or aggressive action against another being or entity,"suno ni la ma Juwese li **kama utala** e ma Kanata. | The United States **attacked** Canada today.
jan li toki ike e tonsi la mi **utala** e ona. | If someone says something transphobic, I'll **attack** them."
0,ijo vivi,attention,n,,(ken) kute,mental focus,"mi **kute** ala e toki pi jan sona. | I wasn't **paying attention** to the lecturer.
mi **ken** ala awen **kute** e ijo lon tenpo suli. | I have a short **attention** span."
